"pair_id"	"date"	"ANA_code"	"SWORD_v17b_node_id"	"SWORD_v17b_reach_id"	"SWORD_v16_node_id"	"SWORD_v16_reach_id"	"model"	"DAWG_discharge_m3_s"	"ANA_discharge_m3_s"	"ANA_coincident"
"ANA_10100000__SWORD17b_62297700021"	"2025-01-16"	10100000	62297700020141	62297700021	62297700900141	62297700901	"consensus"	42668.1863639725	45393.3	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2025-01-20"	10100000	62297700020141	62297700021	62297700900141	62297700901	"consensus"	42853.7662322163	43327.7	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2025-02-06"	10100000	62297700020141	62297700021	62297700900141	62297700901	"consensus"	30304.1548979106	36027.3	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2025-02-10"	10100000	62297700020141	62297700021	62297700900141	62297700901	"consensus"	38261.8044049374	39100.6	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2025-02-27"	10100000	62297700020141	62297700021	62297700900141	62297700901	"consensus"	45076.753572596	49285.5	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-07-28"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	31937.9115174818	28760	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-09-03"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	11318.5201138915	17630.9	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-09-08"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	8656.58405498407	16645.3	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-10-15"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	4474.96688973548	12276.8	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-11-05"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	8296.75749381171	15309.7	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-11-09"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	9622.27785411726	15683	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-12-21"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	41216.7944176796	41654.6	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-01-06"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	85027.0859321726	48034.3	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-01-11"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	44599.1846745351	47823.1	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-01-27"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	34653.5650589527	47170.3	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-02-01"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	41411.4311441376	47485.9	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-02-17"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	34933.9221907894	49030.2	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-03-09"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	56384.6036820231	49179.1	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-03-13"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	45537.0385868732	50032	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-04-03"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	45363.7352899231	50760.2	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-04-20"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	61539.1937682277	50395.7	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-04-24"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	70607.7451336124	49989.2	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-05-15"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	62875.861448828	49903.8	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-06-05"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	47269.9936173045	47612.3	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-06-26"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	46397.5717722413	35774.4	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-07-12"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	23182.6834787757	32515.1	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-07-17"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	26869.2994476844	30770	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-08-23"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	5514.30929866934	12881.2	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-10-04"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	1781.3494946796	7393.27	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-10-24"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	4042.40260130077	10906.8	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-11-14"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	14383.5806669607	20474.8	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-12-05"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	21486.5514369313	27129.8	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-12-10"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	27780.9413568596	30157.4	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-12-26"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	35098.330058539	40040.4	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2025-01-16"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	44144.8836619414	45393.3	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2025-01-20"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	47549.7268669468	43327.7	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2025-02-06"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	30997.2924996241	36027.3	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2025-02-10"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	43259.1975168497	39100.6	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2025-02-27"	10100000	62297700020141	62297700021	62297700900141	62297700901	"metroman"	45224.1813397833	49285.5	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-07-28"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	21824.8533676951	28760	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-09-03"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	10737.3956608441	17630.9	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-09-08"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	7820.7173548693	16645.3	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-10-15"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	5285.92615861119	12276.8	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-10-19"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	6668.73783029372	13475.7	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-11-05"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	7814.23235999319	15309.7	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-11-09"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	8227.01346866332	15683	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-11-26"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	17881.6740072015	25245	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-12-16"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	32906.1085676272	40563	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2023-12-21"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	36688.773441469	41654.6	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-01-06"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	44029.4416637379	48034.3	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-01-11"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	44762.8809125217	47823.1	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-01-27"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	42091.7173437907	47170.3	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-02-01"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	43495.2855111505	47485.9	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-02-17"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	44565.2795140056	49030.2	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-02-22"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	46280.0965724889	50417.1	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-03-09"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	44727.6689839585	49179.1	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-03-13"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	46109.2682539606	50032	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-04-03"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	47308.8594492086	50760.2	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-04-20"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	45158.09739187	50395.7	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-04-24"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	46459.3242028053	49989.2	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-05-15"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	46563.4873761029	49903.8	TRUE
"ANA_10100000__SWORD17b_62297700021"	"2024-05-31"	10100000	62297700020141	62297700021	62297700900141	62297700901	"sic4dvar_assimilation"	43198.2568466886	49498.4	TRUE
